2026-07-27 22:14:04 | CNC-01 | Maintenance | 52.3°C | 1563 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:04 | Robot-02 | Idle | 52.6°C | 2152 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:04 | Lathe-03 | Running | 46.8°C | 2156 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:06 | CNC-01 | Maintenance | 39.4°C | 1645 RPM | 100% | Normal | Not Required
2026-07-27 22:14:06 | Robot-02 | Idle | 57.9°C | 932 RPM | 50% | Critical | Required
2026-07-27 22:14:06 | Lathe-03 | Running | 45.2°C | 1505 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:08 | CNC-01 | Running | 42.2°C | 1290 RPM | 100% | Normal | Not Required
2026-07-27 22:14:08 | Robot-02 | Maintenance | 56.1°C | 2941 RPM | 50% | Critical | Required
2026-07-27 22:14:08 | Lathe-03 | Maintenance | 41.9°C | 805 RPM | 100% | Normal | Not Required
2026-07-27 22:14:10 | CNC-01 | Idle | 51.1°C | 2455 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:10 | Robot-02 | Running | 45.3°C | 1193 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:10 | Lathe-03 | Running | 36.3°C | 1057 RPM | 100% | Normal | Not Required
2026-07-27 22:14:12 | CNC-01 | Maintenance | 45.8°C | 830 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:12 | Robot-02 | Maintenance | 52.1°C | 2487 RPM | 80% | Warning | Check Soon
2026-07-27 22:14:12 | Lathe-03 | Running | 45.2°C | 2834 RPM | 80% | Warning | Check Soon
