2026-07-27 22:20:21 | CNC-01 | Running | 41.6°C | 2347 RPM | 100% | Normal | Not Required
2026-07-27 22:20:21 | Robot-02 | Maintenance | 43.3°C | 1225 RPM | 100% | Normal | Not Required
2026-07-27 22:20:21 | Lathe-03 | Idle | 46.6°C | 1664 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:23 | CNC-01 | Running | 52.6°C | 2456 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:23 | Robot-02 | Maintenance | 45.5°C | 2773 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:23 | Lathe-03 | Maintenance | 41.0°C | 971 RPM | 100% | Normal | Not Required
2026-07-27 22:20:25 | CNC-01 | Maintenance | 41.3°C | 2310 RPM | 100% | Normal | Not Required
2026-07-27 22:20:25 | Robot-02 | Running | 38.3°C | 1662 RPM | 100% | Normal | Not Required
2026-07-27 22:20:25 | Lathe-03 | Idle | 54.9°C | 1117 RPM | 50% | Critical | Required
2026-07-27 22:20:27 | CNC-01 | Maintenance | 37.5°C | 2664 RPM | 100% | Normal | Not Required
2026-07-27 22:20:27 | Robot-02 | Idle | 47.4°C | 1249 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:27 | Lathe-03 | Idle | 53.5°C | 1377 RPM | 50% | Critical | Required
2026-07-27 22:20:29 | CNC-01 | Idle | 58.1°C | 1741 RPM | 50% | Critical | Required
2026-07-27 22:20:29 | Robot-02 | Idle | 51.4°C | 1034 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:29 | Lathe-03 | Running | 50.6°C | 1933 RPM | 80% | Warning | Check Soon
2026-07-27 22:20:31 | CNC-01 | Idle | 39.9°C | 824 RPM | 100% | Normal | Not Required
2026-07-27 22:20:31 | Robot-02 | Idle | 59.0°C | 1799 RPM | 50% | Critical | Required
2026-07-27 22:20:31 | Lathe-03 | Running | 38.0°C | 1365 RPM | 100% | Normal | Not Required
2026-07-27 22:20:33 | CNC-01 | Running | 54.1°C | 2293 RPM | 50% | Critical | Required
2026-07-27 22:20:33 | Robot-02 | Running | 40.5°C | 876 RPM | 100% | Normal | Not Required
2026-07-27 22:20:33 | Lathe-03 | Running | 40.0°C | 1274 RPM | 100% | Normal | Not Required
